Spieltag;xG;xG_Conceded
Runde 1;1.13;2.1
Runde 2;0.35;1.14
Runde 3;1.43;1.17
Runde 4;1.21;1.76
Runde 5;1.65;0.8
Runde 6;1.25;2.26
